Brand,Slug,Source,# Levers,Banner,Free Ship Threshold ($),Subscribe & Save %,Sale Collection,Sale Coll Count,Sale Coll Avg Discount %,Catalog Scan: On Sale,Catalog Scan: Scanned,Catalog Scan: Avg %,Catalog Scan: Max %,Levers (joined),Scraped At
Meowingtons,meowingtons,live,2,Pause slideshow Play slideshow ⭐️ Anniversary Sale! Shop up to 70% OFF Sitewide with CODE: MEOW12at checkout! ⭐️,,,sale,9,33,131,250,24,88,"Currently 33% off across 9 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Pause slideshow Play slideshow ⭐️ Anniversary Sale! Shop up to 70% OFF Sitewide with CODE: MEOW12at checkout! ⭐️""",2026-05-08
Mike Amiri,mike-amiri,live,0,${item.innerHTML},,,,,,,,,,,2026-05-08
Miracle Noodle,miracle-noodle,live,1,Free Shipping on All Orders! SHOP NOW,,,,,,,,,,Free shipping (per current site banner: 'Free Shipping on All Orders! SHOP NOW'),2026-05-08
Mission Workshop,mission-workshop,live,1,,,,,,,28,155,19,30,"Currently 28 products on sale (18% of recent inventory) — average discount 19% off list, up to 30% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
MMA Silver,mma-silver,live,2,"MMA International's Silver Stars Collection is the top choice for wholesale sterling silver jewelry, wholesale fashion jewelry, pearls, and custom jew",,,sale,50,31,,,,,"Currently 31% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""MMA International's Silver Stars Collection is the top choice for wholesale sterling silver jewelry, wholesale fashion jewelry, pearls, and custom jew""",2026-05-08
MMA Warehouse,mma-warehouse,live,1,,,,sale,50,10,128,250,10,10,"Currently 10% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
mnml,mnml,live,1,,,,final-sale,50,28,30,250,29,55,"Currently 28% off across 50 products in our 'final-sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Morphe,morphe,live,1,Free Shipping on Orders $35+,35,,,,,,,,,Free shipping on orders $35+ (current store policy),2026-05-08
Mous,mous,live,2,"FAST, FREE DELIVERY ON ORDERS OVER $69 RATED EXCELLENT 30-DAY RETURNS",69,,sale,50,29,98,233,21,76,"Free shipping on orders $69+ (current store policy) || Currently 29% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
MrBeast Shop,mrbeast-shop,live,1,@media screen and (max-width: 749px) { .custom-announcement-bar { text-align: center; font-size: 1.2rem; } Free Shipping on Orders over $75 (US only),75,,,,,,,,,Free shipping on orders $75+ (current store policy),2026-05-08
mrcnoir,mrcnoir,live,1,,,,,,,9,85,37,47,"Currently 9 products on sale (11% of recent inventory) — average discount 37% off list, up to 47% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Muse-Themes,muse-themes,live,0,,,,,,,,,,,,2026-05-08
MyChoiceSoftware,mychoicesoftware,live,2,Spring Upgrade Event 12% Off Sitewide* Code SPRING26 Exp 05/10 *Exclusions apply. Exclusion Details,,,clearance,4,57,31,250,19,63,"Currently 57% off across 4 products in our 'clearance' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Spring Upgrade Event 12% Off Sitewide* Code SPRING26 Exp 05/10 *Exclusions apply. Exclusion Details""",2026-05-08
